dataset_key,run,model_name,image_AUROC,image_F1Score,error
manufacturing_defects_public,2,STFPM,0.7107842564582825,0.6480000019073486,
manufacturing_defects_public,3,Patchcore,0.9058068990707397,0.8222222328186035,
manufacturing_defects_public,3,PaDiM,0.9730014801025391,0.900473952293396,
manufacturing_defects_public,3,DFM,0.9928355813026428,0.9519230723381042,
manufacturing_defects_public,3,CFA,0.8702111840248108,0.7845304012298584,
manufacturing_defects_public,3,STFPM,0.7524510622024536,0.6886447072029114,
manufacturing_defects_public,4,Patchcore,0.939592719078064,0.8844221234321594,
manufacturing_defects_public,4,PaDiM,0.9764705300331116,0.9056603908538818,
manufacturing_defects_public,4,DFM,0.9928355813026428,0.9519230723381042,
manufacturing_defects_public,4,CFA,0.8733031749725342,0.7978723645210266,
manufacturing_defects_public,4,STFPM,0.8084087371826172,0.7264957427978516,
manufacturing_defects_public,5,Patchcore,0.8982654213905334,0.8064516186714172,
manufacturing_defects_public,5,PaDiM,0.9663650393486023,0.8761904835700989,
manufacturing_defects_public,5,DFM,0.9928355813026428,0.9519230723381042,
manufacturing_defects_public,5,CFA,0.8893665075302124,0.790243923664093,
manufacturing_defects_public,5,STFPM,0.773755669593811,0.6901960968971252,
manufacturing_defects_public,6,Patchcore,0.905203640460968,0.7753304243087769,
manufacturing_defects_public,6,PaDiM,0.9759426116943359,0.8921568393707275,
manufacturing_defects_public,6,DFM,0.9928355813026428,0.9519230723381042,
manufacturing_defects_public,6,CFA,0.861764669418335,0.7958115339279175,
manufacturing_defects_public,6,STFPM,0.6878958940505981,0.6200608015060425,
manufacturing_defects_public,7,Patchcore,0.8702111840248108,0.7216494679450989,
manufacturing_defects_public,7,PaDiM,0.9806938767433167,0.9042553305625916,
manufacturing_defects_public,7,DFM,0.9928355813026428,0.9519230723381042,
manufacturing_defects_public,7,CFA,0.8715686202049255,0.8102564215660095,
manufacturing_defects_public,7,STFPM,0.8924585580825806,0.7946428656578064,
manufacturing_defects_public,8,Patchcore,0.9008294939994812,0.7938144207000732,
manufacturing_defects_public,8,PaDiM,0.9788838624954224,0.9090909361839294,
manufacturing_defects_public,8,DFM,0.9928355813026428,0.9519230723381042,
manufacturing_defects_public,8,CFA,0.8691552877426147,0.7772020697593689,
manufacturing_defects_public,8,STFPM,0.8352940678596497,0.7272727489471436,
manufacturing_defects_public,9,Patchcore,0.8512066602706909,0.7247706651687622,
manufacturing_defects_public,9,PaDiM,0.981372594833374,0.9158878326416016,
manufacturing_defects_public,9,DFM,0.9928355813026428,0.9519230723381042,
manufacturing_defects_public,9,CFA,0.8747360706329346,0.782608687877655,
manufacturing_defects_public,9,STFPM,0.8151583075523376,0.7279693484306335,
manufacturing_defects_public,10,Patchcore,0.9006786346435547,0.8108108043670654,
manufacturing_defects_public,10,PaDiM,0.9859729409217834,0.9313725233078003,
manufacturing_defects_public,10,DFM,0.9928355813026428,0.9519230723381042,
manufacturing_defects_public,10,CFA,0.8656108379364014,0.7748690843582153,
manufacturing_defects_public,10,STFPM,0.7920060157775879,0.6770833134651184,
manufacturing_defects_private,1,Patchcore,0.8449883460998535,0.6265060305595398,
manufacturing_defects_private,1,PaDiM,0.9603729248046875,0.8965517282485962,
manufacturing_defects_private,1,DFM,0.9953380227088928,0.9411764740943909,
manufacturing_defects_private,1,CFA,0.7820512652397156,0.6097561120986938,
manufacturing_defects_private,1,STFPM,0.4452214539051056,0.6117647290229797,
manufacturing_defects_private,2,Patchcore,0.7412587404251099,0.6172839403152466,
manufacturing_defects_private,2,PaDiM,0.9906759262084961,0.9411764740943909,
manufacturing_defects_private,2,DFM,0.9953380227088928,0.9411764740943909,
manufacturing_defects_private,2,CFA,0.7855477929115295,0.6419752836227417,
manufacturing_defects_private,2,STFPM,0.47785547375679016,0.6117647290229797,
