experiment_name,dataset_name,subset_name,selected_defects,run,model_name,image_AUROC,image_F1Score
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",2,Patchcore,0.9025119543075562,0.7871853709220886
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",2,PaDiM,0.9685162305831909,0.870636522769928
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",2,DFM,0.8991231918334961,0.804444432258606
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",2,CFA,0.924312174320221,0.8459869623184204
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",2,STFPM,0.8328272104263306,0.6972476840019226
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",3,Patchcore,0.8943668603897095,0.7447306513786316
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",3,PaDiM,0.9517737627029419,0.8461538553237915
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",3,DFM,0.8991432785987854,0.804444432258606
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",3,CFA,0.9116322994232178,0.8351648449897766
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",3,STFPM,0.8780770301818848,0.752293586730957
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",4,Patchcore,0.8896408081054688,0.7954022884368896
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",4,PaDiM,0.9435082077980042,0.8458498120307922
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",4,DFM,0.8991231918334961,0.804444432258606
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",4,CFA,0.9160767197608948,0.832617998123169
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",4,STFPM,0.8750200271606445,0.7526426911354065
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",5,Patchcore,0.8897112607955933,0.77582848072052
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",5,PaDiM,0.967490553855896,0.8637316823005676
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",5,DFM,0.8991231918334961,0.804444432258606
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",5,CFA,0.918701171875,0.8380129337310791
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",5,STFPM,0.9026627540588379,0.7533632516860962
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",6,Patchcore,0.8472870588302612,0.7176221013069153
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",6,PaDiM,0.9533122777938843,0.8380129337310791
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",6,DFM,0.8991131782531738,0.804444432258606
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",6,CFA,0.9187313914299011,0.8369098901748657
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",6,STFPM,0.893391489982605,0.7432432174682617
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",7,Patchcore,0.881616473197937,0.7834101319313049
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",7,PaDiM,0.9584205150604248,0.85884690284729
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",7,DFM,0.8991533517837524,0.804444432258606
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",7,CFA,0.9272685647010803,0.8473118543624878
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",7,STFPM,0.9141359925270081,0.7905982732772827
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",8,Patchcore,0.8957747220993042,0.7476190328598022
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",8,PaDiM,0.9641520977020264,0.8481012582778931
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",8,DFM,0.8991332054138184,0.804444432258606
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",8,CFA,0.9253077507019043,0.8528784513473511
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",8,STFPM,0.8585593104362488,0.6919831037521362
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",9,Patchcore,0.9002795815467834,0.7947019934654236
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",9,PaDiM,0.9519648551940918,0.8423236608505249
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",9,DFM,0.8991131782531738,0.804444432258606
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",9,CFA,0.9230149388313293,0.8358209133148193
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",9,STFPM,0.8855683207511902,0.7706422209739685
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",10,Patchcore,0.9080926179885864,0.7852193713188171
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",10,PaDiM,0.9704771041870117,0.8823529481887817
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",10,DFM,0.8991533517837524,0.804444432258606
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",10,CFA,0.9197369813919067,0.8439560532569885
cq_public_all_unfit,Circulation_quality,public,"DAMAGED,DIRTY,OXIDIZED",10,STFPM,0.9036280512809753,0.7780219912528992
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,1,Patchcore,0.8739315867424011,0.6875
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,1,PaDiM,0.976495623588562,0.7567567825317383
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,1,DFM,0.9935897588729858,0.9189189076423645
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,1,CFA,0.8282051086425781,0.3913043439388275
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,1,STFPM,0.9363247752189636,0.625
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,2,Patchcore,0.888888955116272,0.7142857313156128
md_public_7_partial,Manufacturing_defects,public,7_partially_erased,2,PaDiM,0.9965811967849731,0.800000011920929
